// Made in NPC Maker by BowieD
GUID 2eb9e04e688f4a0cb0c3385d6ab68f64
Type Vendor
ID 35009
Selling 21
Selling_0_ID 17206
Selling_0_Cost 500
Selling_1_ID 16458
Selling_1_Cost 500
Selling_2_ID 17233
Selling_2_Cost 1500
Selling_3_ID 16280
Selling_3_Cost 15000
Selling_4_ID 18474
Selling_4_Cost 1500
Selling_5_ID 16544
Selling_5_Cost 5000
Selling_6_ID 16388
Selling_6_Cost 2500
Selling_7_ID 17219
Selling_7_Cost 2000
Selling_8_ID 43312
Selling_8_Cost 2000
Selling_9_ID 17213
Selling_9_Cost 1500
Selling_10_ID 18471
Selling_10_Cost 1200
Selling_11_ID 16357
Selling_11_Cost 16000
Selling_12_ID 16392
Selling_12_Cost 15000
Selling_13_ID 17227
Selling_13_Cost 2500
Selling_14_ID 18477
Selling_14_Cost 6000
Selling_15_ID 16432
Selling_15_Cost 3250
Selling_16_ID 16379
Selling_16_Cost 3000
Selling_17_ID 12505
Selling_17_Cost 3000
Selling_18_ID 12509
Selling_18_Cost 2500
Selling_19_ID 12504
Selling_19_Cost 200
Selling_20_ID 12506
Selling_20_Cost 2000
Disable_Sorting
