// Made in NPC Maker by BowieD
GUID 4ac70fb1b437447691acc7a34a1789f2
Type Vendor
ID 35006
Selling 41
Selling_0_ID 18278
Selling_0_Cost 2000
Selling_1_ID 44751
Selling_1_Cost 5000
Selling_2_ID 1271
Selling_2_Cost 500
Selling_3_ID 40984
Selling_3_Cost 1000
Selling_4_ID 25800
Selling_4_Cost 80000
Selling_5_ID 18293
Selling_5_Cost 3500
Selling_6_ID 20501
Selling_6_Cost 3800
Selling_7_ID 58474
Selling_7_Cost 1200
Selling_8_ID 18000
Selling_8_Cost 3000
Selling_9_ID 19804
Selling_9_Cost 1750
Selling_10_ID 18006
Selling_10_Cost 2000
Selling_11_ID 19805
Selling_11_Cost 15000
Selling_12_ID 19803
Selling_12_Cost 5000
Selling_13_ID 18010
Selling_13_Cost 1000
Selling_14_ID 18004
Selling_14_Cost 1200
Selling_15_ID 18087
Selling_15_Cost 650
Selling_16_ID 18008
Selling_16_Cost 1500
Selling_17_ID 18009
Selling_17_Cost 500
Selling_18_ID 18012
Selling_18_Cost 350
Selling_19_ID 18078
Selling_19_Cost 1500
Selling_20_ID 3505
Selling_20_Cost 50000
Selling_21_ID 56851
Selling_21_Cost 500
Selling_22_ID 18075
Selling_22_Cost 800
Selling_23_ID 18026
Selling_23_Cost 1800
Selling_24_ID 18083
Selling_24_Cost 1800
Selling_25_ID 20101
Selling_25_Cost 1200
Selling_26_ID 26402
Selling_26_Cost 1500
Selling_27_ID 26408
Selling_27_Cost 1500
Selling_28_ID 28021
Selling_28_Cost 2300
Selling_29_ID 18310
Selling_29_Cost 30000
Selling_30_ID 1195
Selling_30_Cost 1500
Selling_31_ID 1196
Selling_31_Cost 500
Selling_32_ID 1464
Selling_32_Cost 1000
Selling_33_ID 1197
Selling_33_Cost 200
Selling_34_ID 18278
Selling_34_Cost 5000
Selling_35_ID 18311
Selling_35_Cost 30000
Selling_36_ID 18321
Selling_36_Cost 100000
Selling_37_ID 18317
Selling_37_Cost 10000
Selling_38_ID 19887
Selling_38_Cost 15000
Selling_39_ID 19253
Selling_39_Cost 25000
Selling_40_ID 58477
Selling_40_Cost 10000
Disable_Sorting
