// Made in NPC Maker by BowieD
GUID d7a4e84a1fe0441fbb2e05e7048bdad3
Type Vendor
ID 35005
Selling 25
Selling_0_ID 25203
Selling_0_Cost 23500
Selling_1_ID 25204
Selling_1_Cost 5500
Selling_2_ID 25201
Selling_2_Cost 2000
Selling_3_ID 25205
Selling_3_Cost 75600
Selling_4_ID 34259
Selling_4_Cost 1500
Selling_5_ID 18959
Selling_5_Cost 8000
Selling_6_ID 4087
Selling_6_Cost 2500
Selling_7_ID 4049
Selling_7_Cost 1500
Selling_8_ID 34252
Selling_8_Cost 1500
Selling_9_ID 24022
Selling_9_Cost 3000
Selling_10_ID 18942
Selling_10_Cost 21000
Selling_11_ID 18936
Selling_11_Cost 5250
Selling_12_ID 18934
Selling_12_Cost 63000
Selling_13_ID 29034
Selling_13_Cost 102000
Selling_14_ID 29035
Selling_14_Cost 76000
Selling_15_ID 18855
Selling_15_Cost 150000
Selling_16_ID 18863
Selling_16_Cost 170000
Selling_17_ID 59725
Selling_17_Cost 500
Selling_18_ID 30821
Selling_18_Cost 500
Selling_19_ID 30822
Selling_19_Cost 500
Selling_20_ID 50050
Selling_20_Cost 500
Selling_21_ID 59721
Selling_21_Cost 500
Selling_22_ID 59722
Selling_22_Cost 500
Selling_23_ID 24022
Selling_23_Cost 500
Selling_24_ID 59732
Selling_24_Cost 5000
Disable_Sorting
